bulan,tahun,kode_trayek,trayek,jumlah_penumpang,jenis
Februari,2019,,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PENYANDANG DISABILITAS,7113,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS LANSIA,397533,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS MARBOT,18,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS PAUD,6163,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,,GRATIS JUMANTIK,5926,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PNS DKI DAN PENSIUNAN PNS,41.16,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS TENAGA KONTRAK DKI,19726,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PENERIMA KJP,40072,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS KARYAWAN SWASTA TERTENTU,3305,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PENGHUNI RUMAH SUSUN,25818,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS KTP KEPULAUAN SERIBU,863,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PENERIMA RASKIN,1639,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS TNI/POLRI,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PENYANDANG DISABILITAS,7.83,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS LANSIA,365.26,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS MARBOT,16,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS PAUD,6741,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Maret,2019,,GRATIS JUMANTIK,6493,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Februari,2019,Y,GRATIS GATE NON BRT,2568,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,G1,GRATIS GATE NON BRT,2706,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,JMT,GRATIS JUMANTIK,6481,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Mei ,2019,JMT,GRATIS JUMANTIK,6481,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,JMT,GRATIS JUMANTIK,7.692,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,JMT,GRATIS JUMANTIK,7.358,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,JMT,GRATIS JUMANTIK,7.149,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,JMT,GRATIS JUMANTIK,7.093,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,JMT,GRATIS JUMANTIK,"16,898",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,KJP,GRATIS PENERIMA KJP,40663,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,KJP,GRATIS PENERIMA KJP,37.5,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,KJP,GRATIS PENERIMA KJP,38.021,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,KJP,GRATIS PENERIMA KJP,39.236,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,KJP,GRATIS PENERIMA KJP,38.445,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,KJP,GRATIS PENERIMA KJP,"39,688",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,KPD,GRATIS PENYANDANG DISABILITAS,7.17,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,KPD,GRATIS PENYANDANG DISABILITAS,7.965,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,KPD,GRATIS PENYANDANG DISABILITAS,7.518,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,KPD,GRATIS PENYANDANG DISABILITAS,7.779,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,KPD,GRATIS PENYANDANG DISABILITAS,8.107,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,KPD,GRATIS PENYANDANG DISABILITAS,"7,653",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,3984,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,6.776,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,6.279,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,5.908,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,5.983,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,KST,GRATIS KARYAWAN SWASTA TERTENTU,"7,174",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,MAR,GRATIS MARBOT,20,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Mei ,2019,MAR,GRATIS MARBOT,20,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,MAR,GRATIS MARBOT,51,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,MAR,GRATIS MARBOT,74,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,MAR,GRATIS MARBOT,70,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,MAR,GRATIS MARBOT,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,MAR,GRATIS MARBOT,256,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,548,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,666,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,384,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,391,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,500,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,PAS,GRATIS KTP KEPULAUAN SERIBU,"1,162",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,PBS,GRATIS PENERIMA RASKIN,1415,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,PBS,GRATIS PENERIMA RASKIN,1.896,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,PBS,GRATIS PENERIMA RASKIN,2.077,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,PBS,GRATIS PENERIMA RASKIN,2.16,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,PBS,GRATIS PENERIMA RASKIN,2.353,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,PBS,GRATIS PENERIMA RASKIN,"3,352",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,PLU,GRATIS LANSIA,341904,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,PLU,GRATIS LANSIA,376.338,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,PLU,GRATIS LANSIA,401.358,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,PLU,GRATIS LANSIA,443.021,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,PLU,GRATIS LANSIA,405.165,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,PLU,GRATIS LANSIA,"385,598",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,43157,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,45.227,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,41.817,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,42.969,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,40.921,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,"39,734",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,24184,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,20.654,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,20.316,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,20.722,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,20.614,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,RSN,GRATIS PENGHUNI RUMAH SUSUN,"23,072",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,TKD,GRATIS TENAGA KONTRAK DKI,21437,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,TKD,GRATIS TENAGA KONTRAK DKI,21.994,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,TKD,GRATIS TENAGA KONTRAK DKI,20.127,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,TKD,GRATIS TENAGA KONTRAK DKI,21.743,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,TKD,GRATIS TENAGA KONTRAK DKI,20.126,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,TKD,GRATIS TENAGA KONTRAK DKI,"21,73",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,TNI,GRATIS TNI/POLRI,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,TNI,GRATIS TNI/POLRI,8,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,TNI,GRATIS TNI/POLRI,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,TNI,GRATIS TNI/POLRI,12,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,TNI,GRATIS TNI/POLRI,37,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,TNI,GRATIS TNI/POLRI,505,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,VET,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,VET,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,VET,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,VET,GRATIS VETERAN, -   ,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,VET,GRATIS VETERAN,0,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,VET,GRATIS VETERAN,78,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
April,2019,PAUD,GRATIS PAUD,6677,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Mei ,2019,PAUD,GRATIS PAUD,6677,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Agustus,2019,PAUD,GRATIS PAUD,6.966,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
September,2019,PAUD,GRATIS PAUD,6.227,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Oktober,2019,PAUD,GRATIS PAUD,6.252,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
November,2019,PAUD,GRATIS PAUD,6.534,LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Desember,2019,PAUD,GRATIS PAUD,"13,303",LAMPIRAN LAYANAN GRATIS Bus Rapid Transit
Januari,2019,2E,RUSUN RAWA BEBEK - PAKIN,12731,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,2E,RUSUN RAWA BEBEK - PAKIN,10922,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,2E,RUSUN RAWA BEBEK - PAKIN,13941,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,2E,RUSUN RAWA BEBEK - PAKIN,14999,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,2E,RUSUN RAWA BEBEK - PAKIN,12.455,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,2E,RUSUN RAWA BEBEK - PAKIN,10.597,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,2E,RUSUN RAWA BEBEK - PAKIN,15.971,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,2E,RUSUN RAWA BEBEK - PAKIN,18.513,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,2E,RUSUN RAWA BEBEK - PAKIN,17.293,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,2E,RUSUN RAWA BEBEK - PAKIN,17.293,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,2E,RUSUN RAWA BEBEK - PAKIN,21.34,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,2E,RUSUN RAWA BEBEK - PAKIN,"22,124",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG,29048,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,24628,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,28.74,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,26413,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,21.822,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,21.437,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,23.212,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,24.835,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,25.038,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,25.038,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,23.734,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,"26,852",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,2H,RUSUN JATI RAWASARI - SENEN,4186,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,2H,RUSUN JATI RAWASARI - SENEN,3864,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,2H,RUSUN JATI RAWASARI - SENEN,4613,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,2H,RUSUN JATI RAWASARI - SENEN,4.3,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,2H,RUSUN JATI RAWASARI - SENEN,4.279,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,2H,RUSUN JATI RAWASARI - SENEN,3.506,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,2H,RUSUN JATI RAWASARI - SENEN,4.498,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,2H,RUSUN JATI RAWASARI - SENEN,4.529,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,2H,RUSUN JATI RAWASARI - SENEN,3.995,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,2H,RUSUN JATI RAWASARI - SENEN,3.995,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,2H,RUSUN JATI RAWASARI - SENEN,4.676,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,2H,RUSUN JATI RAWASARI - SENEN,"3,276",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,3A,RUSUN DAAN MOGOT - KALIDERES,29113,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,3A,RUSUN PESAKIH - KALIDERES,25846,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,3A,RUSUN PESAKIH - KALIDERES,29417,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,3A,RUSUN PESAKIH - KALIDERES,28072,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,3A,RUSUN PESAKIH - KALIDERES,28.01,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,3A,RUSUN PESAKIH - KALIDERES,27.967,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,3A,RUSUN PESAKIH - KALIDERES,29.007,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,3A,RUSUN PESAKIH - KALIDERES,28.483,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,3A,RUSUN PESAKIH - KALIDERES,25.68,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,3A,RUSUN PESAKIH - KALIDERES,25.68,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,3A,RUSUN PESAKIH - KALIDERES,27.143,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,3A,RUSUN PESAKIH - KALIDERES,"27,253",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7622,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,3B,RUSUN FLAMBOYAN - KALIDERES,6725,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7584,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7457,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7.256,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,3B,RUSUN FLAMBOYAN - KALIDERES,8.244,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,3B,RUSUN FLAMBOYAN - KALIDERES,8.797,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,3B,RUSUN FLAMBOYAN - KALIDERES,8.282,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7.642,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,3B,RUSUN FLAMBOYAN - KALIDERES,7.642,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,3B,RUSUN FLAMBOYAN - KALIDERES,8.337,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,3B,RUSUN FLAMBOYAN - KALIDERES,"5,708",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,3C,RUSUN KAPUK MUARA - KALIDERES,4724,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,4.38,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,5,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,6268,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,6.627,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,6.68,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,7.663,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,7.728,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,7.072,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,7.072,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,7.885,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,3C,RUSUN KAPUK MUARA - PENJARINGAN,"5,339",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG,2877,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2448,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2679,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2667,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.861,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.903,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,3.115,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,3.557,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.537,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.537,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,3.295,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,"3,724",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,9F,RUSUN TAMBORA - PLUIT,7322,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,9F,RUSUN TAMBORA - PLUIT,6014,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,9F,RUSUN TAMBORA - PLUIT,6.45,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,9F,RUSUN TAMBORA - PLUIT,6333,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,9F,RUSUN TAMBORA - PLUIT,6.211,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,9F,RUSUN TAMBORA - PLUIT,6.495,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,9F,RUSUN TAMBORA - PLUIT,6.313,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,9F,RUSUN TAMBORA - PLUIT,5.754,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,9F,RUSUN TAMBORA - PLUIT,5.548,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,9F,RUSUN TAMBORA - PLUIT,5.548,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,9F,RUSUN TAMBORA - PLUIT,6.51,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,9F,RUSUN TAMBORA - PLUIT,"5,886",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,46827,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,43566,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,54691,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,48037,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,43.999,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,43.548,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,50.17,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,49.457,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,47.016,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,47.016,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,46.85,ANGKUTAN UMUM INTEGRASI RUSUN
Desember,2019,10A,RUSUN MARUNDA - TANJUNG PRIOK,"46,559",ANGKUTAN UMUM INTEGRASI RUSUN
Januari,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,9265,ANGKUTAN UMUM INTEGRASI RUSUN
Februari,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,8125,ANGKUTAN UMUM INTEGRASI RUSUN
Maret,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,9.02,ANGKUTAN UMUM INTEGRASI RUSUN
April,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,8657,ANGKUTAN UMUM INTEGRASI RUSUN
Mei ,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10.637,ANGKUTAN UMUM INTEGRASI RUSUN
Juni,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,9.655,ANGKUTAN UMUM INTEGRASI RUSUN
Juli,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10.771,ANGKUTAN UMUM INTEGRASI RUSUN
Agustus,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10.892,ANGKUTAN UMUM INTEGRASI RUSUN
September,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10.225,ANGKUTAN UMUM INTEGRASI RUSUN
Oktober,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,10.225,ANGKUTAN UMUM INTEGRASI RUSUN
November,2019,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,11.551,ANGKUTAN UMUM INTEGRASI RUSUN
